Entry Id,Date Created,Created By,Date Updated,Updated By,IP Address,Last Page Accessed,Completion Status,"Sports (e.g. Baseball, Football, ...)",Crime Data (e.g. FBI Database),Health - fitness,"Movies (e.g. ratings, box office revenues, ...)",Climate/Environment/Weather,"Traveling (e.g. flight delays, tarmac waits, airport performance, ...)",Health - diseases,"Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data",Global issues: comparison across countries,Other topic(s),Description
721,8/24/22 10:52,public,,,65.110.236.124,1,1,Favorite,Like it very much,Like it very much,Like it,Favorite,Don't like it that much,Don't like it that much,Like it,Like it,Like it very much,,
720,8/23/22 20:14,public,,,65.110.236.70,1,1,Don't like it that much,Like it,Like it,Favorite,Like it very much,Like it very much,Like it,Like it very much,Like it,Like it very much,,
719,8/23/22 17:43,public,,,206.127.185.1,1,1,Don't like it that much,Don't like it that much,Like it,Like it,Favorite,Like it very much,Favorite,Like it very much,Like it,Favorite,,
718,8/23/22 16:50,public,,,216.106.149.148,1,1,Like it very much,Like it,Like it,Don't like it that much,Don't like it that much,Don't like it that much,Like it,Don't like it that much,Like it,Don't like it that much,,
717,8/23/22 13:34,public,,,206.127.179.193,1,1,Like it very much,Don't like it that much,Like it,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Like it,Don't like it that much,,
716,8/23/22 13:33,public,,,65.110.255.125,1,1,Favorite,Like it very much,Like it,Like it very much,Don't like it that much,Don't like it that much,Like it,Like it,Like it,Like it,,
715,8/23/22 13:18,public,,,173.23.46.2,1,1,Favorite,Like it,Don't like it that much,Like it very much,Don't like it that much,Like it,Don't like it that much,Don't like it that much,Like it,Don't like it that much,,
714,8/23/22 12:12,public,,,129.186.251.80,1,1,Don't like it that much,Don't like it that much,Like it very much,Like it very much,Like it very much,Like it very much,Like it very much,Like it,Like it very much,Like it,,
713,8/23/22 11:16,public,,,69.5.140.1,1,1,Don't like it that much,Favorite,Favorite,Like it very much,Like it,Like it,Favorite,Like it very much,Like it,Favorite,,
712,8/23/22 10:40,public,,,129.186.253.160,1,1,Favorite,Like it,Like it,Favorite,Like it very much,Like it,Like it very much,Like it very much,Like it,Like it,Academics,"Analyzing what external factors could impact academic performance. Also, seeing how academic performance can be used to predict success in field. Many other data science possibilities."
711,8/23/22 9:50,public,,,69.5.131.1,1,1,Favorite,Like it very much,Like it,Like it,Don't like it that much,Like it,Don't like it that much,Like it,Like it very much,Like it,Car Datasets,"I have worked with an excel dataset I found on Kaggle that was interesting because it was full of nationwide crashes over the last few years.

Here is a link to the dataset on Kaggle:
https://www.kaggle.com/datasets/sobhanmoosavi/us-accidents "
710,8/23/22 9:46,public,,,206.127.181.193,1,1,Don't like it that much,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,,
709,8/23/22 9:10,public,,,129.186.192.204,1,1,Don't like it that much,Favorite,Don't like it that much,Favorite,Don't like it that much,Favorite,Favorite,Favorite,Favorite,Favorite,"School data? Like SAT/ACT score, GPA, number of AP, honors courses, number of extracurriculars","It would be interesting to look into the relevancy and importance of ACT/SAT score in college consideration. We can look at maybe 2021 college applicants of a university with a 60-70% acceptance rate who didn’t require SAT/ACT scores. Then we can compare the students who did and didn’t submit scores to how they did their first year of college. This can help determine how relevant the tests are vs how relevant other factors like gpa, extracurriculars, and course difficulty are when being considered for a university."
708,8/23/22 9:03,public,,,129.186.192.24,1,1,Don't like it that much,Don't like it that much,Like it,Like it,Favorite,Like it,Favorite,Favorite,Favorite,Favorite,,
707,8/23/22 8:54,public,,,69.5.138.1,1,1,Don't like it that much,Favorite,Favorite,Don't like it that much,Like it very much,Like it,Like it,Like it,Like it,Like it,,
706,8/23/22 8:37,public,,,129.186.192.56,1,1,Don't like it that much,Like it,Like it,Favorite,Like it very much,Like it,Like it,Like it,Favorite,Favorite,,
705,8/23/22 8:29,public,,,129.186.192.156,1,1,Don't like it that much,Like it very much,Like it,Like it,Don't like it that much,Like it,Favorite,Don't like it that much,Like it very much,Like it,,
704,8/23/22 8:27,public,,,129.186.251.92,1,1,Don't like it that much,Like it very much,Like it,Like it very much,Like it very much,Like it,Like it very much,Like it very much,Like it very much,Like it very much,,
703,8/23/22 8:19,public,,,129.186.192.12,1,1,Like it,Favorite,Don't like it that much,Favorite,Like it,Favorite,Don't like it that much,Like it,Favorite,Favorite,No,
702,8/23/22 8:18,public,,,69.5.145.161,1,1,Like it,Favorite,Like it,Don't like it that much,Don't like it that much,Like it,Don't like it that much,Don't like it that much,Favorite,Don't like it that much,,
701,8/23/22 7:45,public,,,65.110.236.22,1,1,Favorite,Like it,Favorite,Like it very much,Favorite,Like it,Favorite,Like it,Like it very much,Favorite,Education/Academic Data,I have an interest in data regarding the types of majors that are seeing an increase in participants as well as looking at the kinds of classes students are taking and how that may impact their future decisions. I have done some work in the past with this kind of data with the department of education.
700,8/23/22 7:41,public,,,129.186.251.80,1,1,Favorite,Like it,Like it very much,Like it very much,Like it,Like it,Like it,Like it,Like it very much,Like it,,
699,8/23/22 7:39,public,,,129.186.251.80,1,1,Favorite,Like it very much,Like it very much,Like it very much,Don't like it that much,Like it,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,,
